Title,Year,Age,Rating,Netflix,Hulu,Prime Video,Disney+
Springsteen On Broadway,2018,,82/100,1,0,0,0
The Life Ahead,2020,13+,82/100,1,0,0,0
The Terminal,2004,13+,82/100,1,0,1,0
Scott Pilgrim vs. the World,2010,13+,82/100,1,0,0,0
Being Elmo: A Puppeteer's Journey,2011,7+,82/100,1,0,0,0
Life of Brian,1979,18+,82/100,1,0,0,0
The Resistance Banker,2018,18+,82/100,1,0,0,0
How to Train Your Dragon 2,2014,7+,82/100,1,0,0,0
The Endless Trench,2019,,82/100,1,0,0,0
Even the Rain,2010,,82/100,1,0,0,0
Love Actually,2003,18+,82/100,1,0,0,0
Dear Ex,2018,18+,82/100,1,0,0,0
Braven,2018,18+,82/100,1,0,0,0
Period. End of Sentence.,2018,,82/100,1,0,0,0
Captain Fantastic,2016,18+,82/100,1,0,0,0
Veronica,2017,18+,81/100,1,0,0,0
The Siege of Jadotville,2016,,81/100,1,0,0,0
Into the Inferno,2016,,81/100,1,0,0,0
Ricky Gervais: Humanity,2018,18+,81/100,1,0,0,0
A Whisker Away,2020,7+,81/100,1,0,0,0
Lady Bird,2017,18+,81/100,1,0,0,0
Road to Perdition,2002,18+,81/100,1,0,0,0
Boogie Nights,1997,18+,81/100,1,0,0,0
Total Recall,1990,16+,81/100,1,0,0,0
Bo Burnham: Inside,2021,18+,81/100,1,0,0,0
Snowpiercer,2013,18+,81/100,1,0,0,0
Circus of Books,2019,,81/100,1,0,0,0
Tallulah,2016,,81/100,1,0,0,0
The Conjuring 2,2016,18+,81/100,1,0,0,0
They'll Love Me When I'm Dead,2018,18+,81/100,1,0,0,0
Nocturnal Animals,2016,18+,81/100,1,0,0,0
Get Me Roger Stone,2017,16+,81/100,1,0,0,0
Hachi: A Dog's Tale,2009,all,81/100,1,0,0,0
Dances with Wolves,1990,13+,80/100,1,0,0,0
Udta Punjab,2016,18+,80/100,1,0,0,0
Bareilly's Barfi,2017,,80/100,1,0,0,0
Divines,2016,,80/100,1,0,0,0
Maktub,2017,7+,80/100,1,0,0,0
Ittefaq,2017,7+,80/100,1,0,0,0
Hannah Gadsby: Nanette,2018,18+,80/100,1,0,0,0
Ali Wong: Hard Knock Wife,2018,18+,80/100,1,0,0,0
Seven Pounds,2008,13+,80/100,1,0,1,0
Uncut Gems,2019,18+,80/100,1,0,0,0
The Kindergarten Teacher,2018,18+,80/100,1,0,0,0
Les Misérables,2012,13+,80/100,1,0,1,0
The Sky Is Pink,2019,,80/100,1,0,0,0
Next Gen,2018,7+,80/100,1,0,0,0
Tom Segura: Disgraceful,2018,13+,80/100,1,0,0,0
My Happy Family,2017,,80/100,1,0,0,0
The American Meme,2018,,80/100,1,0,0,0
Badla,2019,7+,80/100,1,0,0,0
Okko's Inn,2018,7+,80/100,1,0,0,0
The Willoughbys,2020,7+,80/100,1,0,0,0
Hunt for the Wilderpeople,2016,13+,80/100,1,1,0,0
Stardust,2007,13+,79/100,1,0,0,0
Wheelman,2017,18+,79/100,1,0,0,0
The Artist,2011,13+,79/100,1,1,0,0
On My Skin,2018,18+,79/100,1,0,0,0
Gaga: Five Foot Two,2017,18+,79/100,1,0,0,0
Hugo,2011,7+,79/100,1,0,0,0
The Impossible,2012,13+,79/100,1,0,0,0
War Dogs,2016,18+,79/100,1,0,0,0
Ip Man,2008,18+,79/100,1,0,0,0
The Speed Cubers,2020,,79/100,1,0,0,0
Kung Fu Panda 2,2011,7+,79/100,1,0,0,0
The Dirt,2019,18+,79/100,1,0,0,0
Andhadhun,2018,,79/100,1,0,0,0
Atlantics,2019,13+,79/100,1,0,0,0
37 Seconds,2019,,79/100,1,0,0,0
El Camino: A Breaking Bad Movie,2019,18+,79/100,1,0,0,0
Underworld,2003,18+,79/100,1,1,1,0
The Ring,2002,13+,79/100,1,0,1,0
Hold the Dark,2018,,79/100,1,0,0,0
The Karate Kid,1984,7+,79/100,1,0,0,0
Quincy,2018,18+,79/100,1,0,0,0
The Patriot,2000,18+,79/100,1,0,0,0
Get In,2019,18+,79/100,1,0,0,0
ZZ Top: That Little Ol' Band From Texas,2019,,79/100,1,0,0,0
Jerry Before Seinfeld,2017,16+,79/100,1,0,0,0
Mike Birbiglia: The New One,2019,,78/100,1,0,0,0
A Silent Voice: The Movie,2016,13+,78/100,1,0,0,0
Klaus,2019,7+,78/100,1,0,0,0
Snowden,2016,18+,78/100,1,0,0,0
"Nick Kroll & John Mulaney: Oh, Hello on Broadway",2017,18+,78/100,1,0,0,0
What's Eating Gilbert Grape,1993,13+,78/100,1,0,0,0
The Da Vinci Code,2006,13+,78/100,1,1,0,0
Stranger Than Fiction,2006,13+,78/100,1,0,0,0
Don 2,2011,,78/100,1,0,0,0
Elena,2013,,78/100,1,0,0,0
Real Steel,2011,13+,78/100,1,0,0,0
The Founder,2017,13+,78/100,1,0,0,0
Stargate,1994,13+,78/100,1,0,0,0
Shirkers,2018,,78/100,1,0,0,0
Chef,2014,18+,78/100,1,0,0,0
Fire in the Blood,2013,,78/100,1,0,0,0
Austin Powers: International Man of Mystery,1997,13+,78/100,1,0,0,0
Miles Davis: Birth of the Cool,2019,,78/100,1,0,0,0
Insidious,2010,13+,78/100,1,0,0,0
Screwball,2019,,78/100,1,0,0,0
The Old Guard,2020,18+,78/100,1,0,0,0
Rango,2011,7+,78/100,1,0,0,0
Before I Wake,2016,13+,78/100,1,0,0,0
The Disaster Artist,2017,18+,78/100,1,0,0,0
Fruitvale Station,2013,18+,77/100,1,0,0,0
The Florida Project,2017,18+,77/100,1,0,0,0
Behind the Curve,2018,16+,77/100,1,0,0,0
Lawless,2012,18+,77/100,1,0,0,0
Errementari: The Blacksmith and the Devil,2018,18+,77/100,1,0,0,0
Audrie & Daisy,2016,,77/100,1,0,0,0
Quantum of Solace,2008,13+,77/100,1,0,0,0
The Master,2012,18+,77/100,1,0,0,0
Layer Cake,2004,18+,77/100,1,0,0,0
Flipped,2010,7+,77/100,1,0,0,0
Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,2018,16+,77/100,1,0,0,0
Friends with Benefits,2011,18+,77/100,1,1,0,0
Tig,2015,,77/100,1,0,0,0
Roll Red Roll,2019,,77/100,1,0,0,0
Enola Holmes,2020,13+,77/100,1,0,0,0
PK,2015,13+,77/100,1,0,0,0
Good Time,2017,18+,77/100,1,0,0,0
The Next Three Days,2010,13+,77/100,1,0,0,0
Miracle in Cell No. 7,2019,16+,77/100,1,0,0,0
Like Stars on Earth,2007,7+,77/100,1,0,0,0
Trixie Mattel: Moving Parts,2019,,77/100,1,0,0,0
Talaash,2012,,77/100,1,0,0,0
Evelyn,2019,,77/100,1,0,0,0
I Am Sam,2001,13+,77/100,1,0,0,0
In the Shadow of the Moon,2019,18+,77/100,1,0,0,0
Neon Genesis Evangelion: The End of Evangelion,1997,18+,77/100,1,0,0,0
Memoirs of a Geisha,2005,13+,76/100,1,0,0,0
Mad Max,1979,18+,76/100,1,0,0,0
John Leguizamo's Latin History for Morons,2018,7+,76/100,1,0,0,0
And Breathe Normally,2018,16+,76/100,1,0,0,0
The Killing of a Sacred Deer,2017,18+,76/100,1,0,0,0
Angels & Demons,2009,13+,76/100,1,1,0,0
Smoke & Mirrors,2016,,76/100,1,0,0,0
Bright,2017,18+,76/100,1,0,0,0
Yes Man,2008,13+,76/100,1,0,0,0
Murder Mystery,2019,13+,76/100,1,0,0,0
Pink,2016,,76/100,1,0,0,0
The Photographer of Mauthausen,2018,18+,76/100,1,0,0,0
Midnight Run,1988,18+,76/100,1,0,0,0
Flavors of Youth,2018,13+,76/100,1,0,0,0
13th,2016,18+,76/100,1,0,0,0
Ravenous,2017,18+,76/100,1,0,0,0
Austin Powers: The Spy Who Shagged Me,1999,13+,76/100,1,0,0,0
The Life of David Gale,2003,18+,76/100,1,0,0,0
Tramps,2016,,76/100,1,0,0,0
The Girl Next Door,2004,18+,76/100,1,0,0,0
The Two Popes,2019,13+,76/100,1,0,0,0
The Wandering Earth,2019,13+,76/100,1,0,0,0
Just Another Love Story,2007,,76/100,1,0,0,0
Eye for an Eye,2019,18+,76/100,1,0,0,0
Patton Oswalt: Annihilation,2017,,76/100,1,0,0,0
Joan Didion: The Center Will Not Hold,2017,,76/100,1,0,0,0
Steve Jobs,2015,18+,76/100,1,0,0,0
White Fang,2018,7+,76/100,1,0,0,1
A Monster Calls,2016,13+,76/100,1,0,0,0
Olympus Has Fallen,2013,18+,76/100,1,0,0,0
Talladega Nights: The Ballad of Ricky Bobby,2006,13+,76/100,1,0,0,0
The Time Traveler's Wife,2009,13+,76/100,1,0,0,0
State of Play,2009,13+,76/100,1,0,0,0
The Outlaw Josey Wales,1976,7+,76/100,1,0,0,0
The Bank Job,2008,18+,76/100,1,0,0,0
Miss Sloane,2016,18+,76/100,1,0,0,0
Unknown,2011,13+,75/100,1,0,0,0
6 Underground,2019,18+,75/100,1,0,0,0
Uncorked,2020,13+,75/100,1,0,0,0
Petta,2019,,75/100,1,0,0,0
Justin Timberlake + The Tennessee Kids,2016,,75/100,1,0,0,0
My Fair Lady,1964,all,75/100,1,0,0,0
"Bikram: Yogi, Guru, Predator",2019,18+,75/100,1,0,0,0
A Futile and Stupid Gesture,2018,18+,75/100,1,0,0,0
The Dig,2021,13+,75/100,1,0,0,0
Legally Blonde,2001,13+,75/100,1,0,0,0
Legend,2015,18+,75/100,1,0,0,0
Notes on Blindness,2016,,75/100,1,0,0,0
When We First Met,2018,16+,75/100,1,0,0,0
Best Worst Thing That Ever Could Have Happened...,2016,,75/100,1,0,0,0
Imperial Dreams,2014,,75/100,1,0,0,0
Black Mirror: Bandersnatch,2018,18+,75/100,1,0,0,0
Queen,2013,13+,75/100,1,0,0,0
Joshua: Teenager vs. Superpower,2017,16+,75/100,1,0,0,0
Air Force One,1997,18+,75/100,1,0,0,0
Shot Caller,2017,18+,75/100,1,0,0,0
What Dreams May Come,1998,13+,75/100,1,0,0,0
Angel Has Fallen,2019,18+,75/100,1,0,0,0
Crimson Peak,2015,18+,75/100,1,0,0,0
Lemony Snicket's A Series of Unfortunate Events,2004,7+,75/100,1,0,0,0
The Red Sea Diving Resort,2019,18+,75/100,1,0,0,0
The Angel,2018,18+,75/100,1,0,0,0
Army of the Dead,2021,18+,75/100,1,0,0,0
Madagascar 3: Europe's Most Wanted,2012,7+,75/100,1,0,0,0
